nCharacters;min_nSamples_perCharacter;max_RSD_perCharacter;Width_RedactedText;
53;5;2;72;
iCharacter;iCharAvrgWidth;iCharacter_nSample;iCharacter_RSD;iCharacter_Samples;
a;35;1;1;35;
b;38;1;1;38;
c;31;1;1;31;
d;38;1;1;38;
e;36;1;1;36;
f;22;1;1;22;
g;34;1;1;34;
h;38;1;1;38;
i;17;1;1;17;
j;18;1;1;18;
k;33;1;1;33;
l;17;1;1;17;
m;58;1;1;58;
n;38;1;1;38;
o;39;1;1;39;
p;38;1;1;38;
q;38;1;1;38;
r;25;1;1;25;
s;29;1;1;29;
t;24;1;1;24;
u;38;1;1;38;
v;33;1;1;33;
w;52;1;1;52;
x;32;1;1;32;
y;33;1;1;33;
z;29;1;1;29;
A;42;1;1;42;
B;40;1;1;40;
C;39;1;1;39;
D;45;1;1;45;
E;36;1;1;36;
F;34;1;1;34;
G;46;1;1;46;
H;46;1;1;46;
I;18;1;1;18;
J;23;1;1;23;
K;38;1;1;38;
L;31;1;1;31;
M;62;1;1;62;
N;47;1;1;47;
O;48;1;1;48;
P;38;1;1;38;
Q;49;1;1;49;
R;40;1;1;40;
S;34;1;1;34;
T;36;1;1;36;
U;47;1;1;47;
V;41;1;1;41;
W;65;1;1;65;
X;38;1;1;38;
Y;36;1;1;36;
Z;34;1;1;34;
_;17;1;1;17;
